[Name]
User Points

[Data]
"Time","Monitor Point: ts_Felni111Szegmens1","Monitor Point: ts_Felni111Szegmens2","Monitor Point: ts_Felni111Szegmens3","Monitor Point: ts_Felni111Szegmens4","Monitor Point: ts_Felni111Szegmens5","Monitor Point: ts_Felni111Szegmens6","Monitor Point: ts_Felni111Szegmens7","Monitor Point: ts_Felni111Szegmens8","Monitor Point: ts_Felni112Szegmens1","Monitor Point: ts_Felni112Szegmens2","Monitor Point: ts_Felni112Szegmens3","Monitor Point: ts_Felni112Szegmens4","Monitor Point: ts_Felni112Szegmens5","Monitor Point: ts_Felni112Szegmens6","Monitor Point: ts_Felni112Szegmens7","Monitor Point: ts_Felni112Szegmens8","Monitor Point: ts_Felni121Szegmens1","Monitor Point: ts_Felni121Szegmens2","Monitor Point: ts_Felni121Szegmens3","Monitor Point: ts_Felni121Szegmens4","Monitor Point: ts_Felni121Szegmens5","Monitor Point: ts_Felni121Szegmens6","Monitor Point: ts_Felni121Szegmens7","Monitor Point: ts_Felni121Szegmens8","Monitor Point: ts_Felni122Szegmens1","Monitor Point: ts_Felni122Szegmens2","Monitor Point: ts_Felni122Szegmens3","Monitor Point: ts_Felni122Szegmens4","Monitor Point: ts_Felni122Szegmens5","Monitor Point: ts_Felni122Szegmens6","Monitor Point: ts_Felni122Szegmens7","Monitor Point: ts_Felni122Szegmens8","Monitor Point: ts_Felni211Szegmens1","Monitor Point: ts_Felni211Szegmens2","Monitor Point: ts_Felni211Szegmens3","Monitor Point: ts_Felni211Szegmens4","Monitor Point: ts_Felni211Szegmens5","Monitor Point: ts_Felni211Szegmens6","Monitor Point: ts_Felni211Szegmens7","Monitor Point: ts_Felni211Szegmens8","Monitor Point: ts_Felni212Szegmens1","Monitor Point: ts_Felni212Szegmens2","Monitor Point: ts_Felni212Szegmens3","Monitor Point: ts_Felni212Szegmens4","Monitor Point: ts_Felni212Szegmens5","Monitor Point: ts_Felni212Szegmens6","Monitor Point: ts_Felni212Szegmens7","Monitor Point: ts_Felni212Szegmens8","Monitor Point: ts_Felni221Szegmens1","Monitor Point: ts_Felni221Szegmens2","Monitor Point: ts_Felni221Szegmens3","Monitor Point: ts_Felni221Szegmens4","Monitor Point: ts_Felni221Szegmens5","Monitor Point: ts_Felni221Szegmens6","Monitor Point: ts_Felni221Szegmens7","Monitor Point: ts_Felni221Szegmens8","Monitor Point: ts_Felni222Szegmens1","Monitor Point: ts_Felni222Szegmens2","Monitor Point: ts_Felni222Szegmens3","Monitor Point: ts_Felni222Szegmens4","Monitor Point: ts_Felni222Szegmens5","Monitor Point: ts_Felni222Szegmens6","Monitor Point: ts_Felni222Szegmens7","Monitor Point: ts_Felni222Szegmens8","Monitor Point: ts_Felni311Szegmens1","Monitor Point: ts_Felni311Szegmens2","Monitor Point: ts_Felni311Szegmens3","Monitor Point: ts_Felni311Szegmens4","Monitor Point: ts_Felni311Szegmens5","Monitor Point: ts_Felni311Szegmens6","Monitor Point: ts_Felni311Szegmens7","Monitor Point: ts_Felni311Szegmens8","Monitor Point: ts_Felni312Szegmens1","Monitor Point: ts_Felni312Szegmens2","Monitor Point: ts_Felni312Szegmens3","Monitor Point: ts_Felni312Szegmens4","Monitor Point: ts_Felni312Szegmens5","Monitor Point: ts_Felni312Szegmens6","Monitor Point: ts_Felni312Szegmens7","Monitor Point: ts_Felni312Szegmens8","Monitor Point: ts_Felni321Szegmens1","Monitor Point: ts_Felni321Szegmens2","Monitor Point: ts_Felni321Szegmens3","Monitor Point: ts_Felni321Szegmens4","Monitor Point: ts_Felni321Szegmens5","Monitor Point: ts_Felni321Szegmens6","Monitor Point: ts_Felni321Szegmens7","Monitor Point: ts_Felni321Szegmens8","Monitor Point: ts_Felni322Szegmens1","Monitor Point: ts_Felni322Szegmens2","Monitor Point: ts_Felni322Szegmens3","Monitor Point: ts_Felni322Szegmens4","Monitor Point: ts_Felni322Szegmens5","Monitor Point: ts_Felni322Szegmens6","Monitor Point: ts_Felni322Szegmens7","Monitor Point: ts_Felni322Szegmens8"
5.00000000e-01,7.63625977e+02,7.64006226e+02,7.63958252e+02,7.64049500e+02,7.64039856e+02,7.64062500e+02,7.63928955e+02,7.63787659e+02,7.63858521e+02,7.63847473e+02,7.64094482e+02,7.64078247e+02,7.64092773e+02,7.64182678e+02,7.64018250e+02,7.63999573e+02,7.63608765e+02,7.63534668e+02,7.63530884e+02,7.63509644e+02,7.63755493e+02,7.63812988e+02,7.63936218e+02,7.63834290e+02,7.64063171e+02,7.64136169e+02,7.64061462e+02,7.63961975e+02,7.64117554e+02,7.64163818e+02,7.64160889e+02,7.64119202e+02,7.63532715e+02,7.63692871e+02,7.63679016e+02,7.63662354e+02,7.63785767e+02,7.63818909e+02,7.63841980e+02,7.63566650e+02,7.63991028e+02,7.63927490e+02,7.63696472e+02,7.63720459e+02,7.63845581e+02,7.63933289e+02,7.63926697e+02,7.63939026e+02,7.63610229e+02,7.63405701e+02,7.63581299e+02,7.63540771e+02,7.63391724e+02,7.63532166e+02,7.63688354e+02,7.63621826e+02,7.63916138e+02,7.63916809e+02,7.63950073e+02,7.63911865e+02,7.63844910e+02,7.63933044e+02,7.64092163e+02,7.64022400e+02,7.64147278e+02,7.64118164e+02,7.64045898e+02,7.63983704e+02,7.63701843e+02,7.63699097e+02,7.63858948e+02,7.63917969e+02,7.64197937e+02,7.64211121e+02,7.64175964e+02,7.64175598e+02,7.64049255e+02,7.63974182e+02,7.64049622e+02,7.63998596e+02,7.63978577e+02,7.63916809e+02,7.63982910e+02,7.63867065e+02,7.63700500e+02,7.63805481e+02,7.63679016e+02,7.63790588e+02,7.64208008e+02,7.64101318e+02,7.64198303e+02,7.64097534e+02,7.64024109e+02,7.64007263e+02,7.64205383e+02,7.64091919e+02
1.00000000e+00,7.56657654e+02,7.57379822e+02,7.57289856e+02,7.57473633e+02,7.57473755e+02,7.57522705e+02,7.57252686e+02,7.56960327e+02,7.57031250e+02,7.57007935e+02,7.57471191e+02,7.57457336e+02,7.57491638e+02,7.57674438e+02,7.57361450e+02,7.57282288e+02,7.56626526e+02,7.56487366e+02,7.56503418e+02,7.56433838e+02,7.56867004e+02,7.57014832e+02,7.57227417e+02,7.57044983e+02,7.57411255e+02,7.57572510e+02,7.57410400e+02,7.57218140e+02,7.57521118e+02,7.57603210e+02,7.57616089e+02,7.57515564e+02,7.56468262e+02,7.56796448e+02,7.56760498e+02,7.56727234e+02,7.56977722e+02,7.57046509e+02,7.57066589e+02,7.56523743e+02,7.57254028e+02,7.57178528e+02,7.56722534e+02,7.56776306e+02,7.57028992e+02,7.57200928e+02,7.57176514e+02,7.57154541e+02,7.56640015e+02,7.56242981e+02,7.56562012e+02,7.56474976e+02,7.56206116e+02,7.56473572e+02,7.56751648e+02,7.56646179e+02,7.57144653e+02,7.57138367e+02,7.57222595e+02,7.57138306e+02,7.57008240e+02,7.57183167e+02,7.57505554e+02,7.57345398e+02,7.57687500e+02,7.57631592e+02,7.57474365e+02,7.57358704e+02,7.56825684e+02,7.56828796e+02,7.57113586e+02,7.57229553e+02,7.57726929e+02,7.57767944e+02,7.57683838e+02,7.57636658e+02,7.57390137e+02,7.57277405e+02,7.57403931e+02,7.57279663e+02,7.57330017e+02,7.57230835e+02,7.57349304e+02,7.57098328e+02,7.56801941e+02,7.57002991e+02,7.56769226e+02,7.56966614e+02,7.57722229e+02,7.57513245e+02,7.57700562e+02,7.57497437e+02,7.57343445e+02,7.57330383e+02,7.57683716e+02,7.57455994e+02
1.50000000e+00,7.50879761e+02,7.51938477e+02,7.51811279e+02,7.52111572e+02,7.52120605e+02,7.52206299e+02,7.51797729e+02,7.51336365e+02,7.51343567e+02,7.51324219e+02,7.51980042e+02,7.51975098e+02,7.52039185e+02,7.52319275e+02,7.51858521e+02,7.51692017e+02,7.50860657e+02,7.50653564e+02,7.50682190e+02,7.50554993e+02,7.51172180e+02,7.51412598e+02,7.51704346e+02,7.51464844e+02,7.51891052e+02,7.52161194e+02,7.51896484e+02,7.51612549e+02,7.52082092e+02,7.52188232e+02,7.52216736e+02,7.52048035e+02,7.50589905e+02,7.51115723e+02,7.51048950e+02,7.50999695e+02,7.51383728e+02,7.51487183e+02,7.51501160e+02,7.50681824e+02,7.51647766e+02,7.51584839e+02,7.50901550e+02,7.50974182e+02,7.51367676e+02,7.51623779e+02,7.51573120e+02,7.51487061e+02,7.50879272e+02,7.50284668e+02,7.50735779e+02,7.50591125e+02,7.50215759e+02,7.50611572e+02,7.51018372e+02,7.50866638e+02,7.51514648e+02,7.51500854e+02,7.51654602e+02,7.51501160e+02,7.51304382e+02,7.51578857e+02,7.52077942e+02,7.51805237e+02,7.52464111e+02,7.52369263e+02,7.52131104e+02,7.51952393e+02,7.51173340e+02,7.51185364e+02,7.51566895e+02,7.51737549e+02,7.52433105e+02,7.52515320e+02,7.52344971e+02,7.52250488e+02,7.51871765e+02,7.51742737e+02,7.51915649e+02,7.51697937e+02,7.51881409e+02,7.51735596e+02,7.51922241e+02,7.51513184e+02,7.51105103e+02,7.51410400e+02,7.51078308e+02,7.51314819e+02,7.52395203e+02,7.52079163e+02,7.52359314e+02,7.52049194e+02,7.51802734e+02,7.51797302e+02,7.52306335e+02,7.51952026e+02
2.00000000e+00,7.45710083e+02,7.47116943e+02,7.46958862e+02,7.47383850e+02,7.47407593e+02,7.47535767e+02,7.46966492e+02,7.46348633e+02,7.46243652e+02,7.46216003e+02,7.47052551e+02,7.47076599e+02,7.47169250e+02,7.47545654e+02,7.46934143e+02,7.46670105e+02,7.45728882e+02,7.45462341e+02,7.45501953e+02,7.45302551e+02,7.46094238e+02,7.46424438e+02,7.46791870e+02,7.46508484e+02,7.46947083e+02,7.47329346e+02,7.46952759e+02,7.46597412e+02,7.47228271e+02,7.47346069e+02,7.47390381e+02,7.47159607e+02,7.45330750e+02,7.46083923e+02,7.45965149e+02,7.45903259e+02,7.46427673e+02,7.46558594e+02,7.46569397e+02,7.45469238e+02,7.46602539e+02,7.46562378e+02,7.45627991e+02,7.45733887e+02,7.46277954e+02,7.46632263e+02,7.46542053e+02,7.46387146e+02,7.45754272e+02,7.44965271e+02,7.45527039e+02,7.45311584e+02,7.44834595e+02,7.45384155e+02,7.45911926e+02,7.45704895e+02,7.46455322e+02,7.46434387e+02,7.46666626e+02,7.46452209e+02,7.46173645e+02,7.46544434e+02,7.47235291e+02,7.46841736e+02,7.47885315e+02,7.47761292e+02,7.47451111e+02,7.47209717e+02,7.46167358e+02,7.46202087e+02,7.46662720e+02,7.46881897e+02,7.47744263e+02,7.47875732e+02,7.47605530e+02,7.47455383e+02,7.46943604e+02,7.46793335e+02,7.47012329e+02,7.46689087e+02,7.47067200e+02,7.46873108e+02,7.47102234e+02,7.46547607e+02,7.46041687e+02,7.46457214e+02,7.46026978e+02,7.46289185e+02,7.47650757e+02,7.47232910e+02,7.47619812e+02,7.47195068e+02,7.46841431e+02,7.46868530e+02,7.47507874e+02,7.47036499e+02
2.50000000e+00,7.40935303e+02,7.42674316e+02,7.42494629e+02,7.43062927e+02,7.43093384e+02,7.43272156e+02,7.42547791e+02,7.41769653e+02,7.41504272e+02,7.41469421e+02,7.42497253e+02,7.42526062e+02,7.42656982e+02,7.43136902e+02,7.42370361e+02,7.42009216e+02,7.41011108e+02,7.40676636e+02,7.40729187e+02,7.40467957e+02,7.41406311e+02,7.41827026e+02,7.42270569e+02,7.41956787e+02,7.42356140e+02,7.42859985e+02,7.42370117e+02,7.41950012e+02,7.42747253e+02,7.42857971e+02,7.42918823e+02,7.42628906e+02,7.40463074e+02,7.41466492e+02,7.41299316e+02,7.41210571e+02,7.41884888e+02,7.42042480e+02,7.42048523e+02,7.40650085e+02,7.41914062e+02,7.41901611e+02,7.40733215e+02,7.40845825e+02,7.41539185e+02,7.42000122e+02,7.41859863e+02,7.41649048e+02,7.41036377e+02,7.40061951e+02,7.40727600e+02,7.40417969e+02,7.39840637e+02,7.40560730e+02,7.41215332e+02,7.40941956e+02,7.41751526e+02,7.41742737e+02,7.42042908e+02,7.41757385e+02,7.41400024e+02,7.41875244e+02,7.42759521e+02,7.42246887e+02,7.43733948e+02,7.43576660e+02,7.43185608e+02,7.42881958e+02,7.41587402e+02,7.41638855e+02,7.42175964e+02,7.42434631e+02,7.43437378e+02,7.43613403e+02,7.43238403e+02,7.43030762e+02,7.42389709e+02,7.42224121e+02,7.42491699e+02,7.42033081e+02,7.42645203e+02,7.42402222e+02,7.42674988e+02,7.41979492e+02,7.41391418e+02,7.41908508e+02,7.41386780e+02,7.41662720e+02,7.43279358e+02,7.42758484e+02,7.43254456e+02,7.42720398e+02,7.42252563e+02,7.42309204e+02,7.43083801e+02,7.42488281e+02
3.00000000e+00,7.36433044e+02,7.38517090e+02,7.38301575e+02,7.39027893e+02,7.39071960e+02,7.39305298e+02,7.38404663e+02,7.37492249e+02,7.37032715e+02,7.36993774e+02,7.38179688e+02,7.38232544e+02,7.38397095e+02,7.38981567e+02,7.38054199e+02,7.37609558e+02,7.36592346e+02,7.36184631e+02,7.36253540e+02,7.35918457e+02,7.37020142e+02,7.37507874e+02,7.38013550e+02,7.37687439e+02,7.38025452e+02,7.38646484e+02,7.38053223e+02,7.37575500e+02,7.38536438e+02,7.38622803e+02,7.38698547e+02,7.38356323e+02,7.35879028e+02,7.37148315e+02,7.36924316e+02,7.36814331e+02,7.37636047e+02,7.37822510e+02,7.37817322e+02,7.36112305e+02,7.37484802e+02,7.37493530e+02,7.36063110e+02,7.36195251e+02,7.37042847e+02,7.37628113e+02,7.37429993e+02,7.37165283e+02,7.36605957e+02,7.35442566e+02,7.36207703e+02,7.35796936e+02,7.35125549e+02,7.36032593e+02,7.36807861e+02,7.36460571e+02,7.37298584e+02,7.37303162e+02,7.37679871e+02,7.37332886e+02,7.36885315e+02,7.37457825e+02,7.38551453e+02,7.37901001e+02,7.39869812e+02,7.39694275e+02,7.39232422e+02,7.38861267e+02,7.37310547e+02,7.37390259e+02,7.37989685e+02,7.38279297e+02,7.39396362e+02,7.39625183e+02,7.39135071e+02,7.38874329e+02,7.38111206e+02,7.37925903e+02,7.38240967e+02,7.37650391e+02,7.38515747e+02,7.38218872e+02,7.38520020e+02,7.37692688e+02,7.37021973e+02,7.37658875e+02,7.37046509e+02,7.37322693e+02,7.39166016e+02,7.38544678e+02,7.39165710e+02,7.38517273e+02,7.37935059e+02,7.38029175e+02,7.38922546e+02,7.38207825e+02
3.50000000e+00,7.32145996e+02,7.34564819e+02,7.34319153e+02,7.35208740e+02,7.35250000e+02,7.35556091e+02,7.34472534e+02,7.33447388e+02,7.32763794e+02,7.32712219e+02,7.34052002e+02,7.34125732e+02,7.34331970e+02,7.35012817e+02,7.33938354e+02,7.33412354e+02,7.32397766e+02,7.31913574e+02,7.31992676e+02,7.31579529e+02,7.32842834e+02,7.33399109e+02,7.33962036e+02,7.33644165e+02,7.33896606e+02,7.34629395e+02,7.33926270e+02,7.33402283e+02,7.34531250e+02,7.34583679e+02,7.34669189e+02,7.34281921e+02,7.31512573e+02,7.33049011e+02,7.32766785e+02,7.32624390e+02,7.33608704e+02,7.33813660e+02,7.33815796e+02,7.31794434e+02,7.33256470e+02,7.33286804e+02,7.31594116e+02,7.31739258e+02,7.32734680e+02,7.33451416e+02,7.33186584e+02,7.32886047e+02,7.32394775e+02,7.31054993e+02,7.31915588e+02,7.31380249e+02,7.30619141e+02,7.31721313e+02,7.32616760e+02,7.32197083e+02,7.33036011e+02,7.33065002e+02,7.33510376e+02,7.33108643e+02,7.32559143e+02,7.33236694e+02,7.34532715e+02,7.33756287e+02,7.36229431e+02,7.36025391e+02,7.35504211e+02,7.35073242e+02,7.33262085e+02,7.33377075e+02,7.34037354e+02,7.34345032e+02,7.35558228e+02,7.35836304e+02,7.35234863e+02,7.34923218e+02,7.34039551e+02,7.33841003e+02,7.34202454e+02,7.33464905e+02,7.34599487e+02,7.34248657e+02,7.34574524e+02,7.33617798e+02,7.32871582e+02,7.33636597e+02,7.32927490e+02,7.33201660e+02,7.35253601e+02,7.34533569e+02,7.35289673e+02,7.34525269e+02,7.33823059e+02,7.33955017e+02,7.34962463e+02,7.34132446e+02
4.00000000e+00,7.28022095e+02,7.30781189e+02,7.30492615e+02,7.31561096e+02,7.31601013e+02,7.31977295e+02,7.30710205e+02,7.29574280e+02,7.28655884e+02,7.28592468e+02,7.30090820e+02,7.30173401e+02,7.30420410e+02,7.31200867e+02,7.29971741e+02,7.29375732e+02,7.28383789e+02,7.27813477e+02,7.27913147e+02,7.27421326e+02,7.28845764e+02,7.29449036e+02,7.30078308e+02,7.29774048e+02,7.29927734e+02,7.30771484e+02,7.29966736e+02,7.29390625e+02,7.30691650e+02,7.30697144e+02,7.30793274e+02,7.30370544e+02,7.27313782e+02,7.29120850e+02,7.28780151e+02,7.28616638e+02,7.29743958e+02,7.29982788e+02,7.29986450e+02,7.27648804e+02,7.29185852e+02,7.29231140e+02,7.27295166e+02,7.27423218e+02,7.28572205e+02,7.29431396e+02,7.29098328e+02,7.28766052e+02,7.28364197e+02,7.26843262e+02,7.27783997e+02,7.27126465e+02,7.26281738e+02,7.27575989e+02,7.28598877e+02,7.28094299e+02,7.28929565e+02,7.28985840e+02,7.29496460e+02,7.29046265e+02,7.28395447e+02,7.29181030e+02,7.30683594e+02,7.29770142e+02,7.32753845e+02,7.32548157e+02,7.31962280e+02,7.31471130e+02,7.29396667e+02,7.29549744e+02,7.30271790e+02,7.30592407e+02,7.31883057e+02,7.32210144e+02,7.31491211e+02,7.31131958e+02,7.30128174e+02,7.29915771e+02,7.30335754e+02,7.29445190e+02,7.30867065e+02,7.30450012e+02,7.30785400e+02,7.29713745e+02,7.28896606e+02,7.29796753e+02,7.28989990e+02,7.29256042e+02,7.31503113e+02,7.30684998e+02,7.31573792e+02,7.30697510e+02,7.29875122e+02,7.30044189e+02,7.31168213e+02,7.30220154e+02
4.50000000e+00,7.24036621e+02,7.27129395e+02,7.26799133e+02,7.28046265e+02,7.28088501e+02,7.28535522e+02,7.27086487e+02,7.25850464e+02,7.24691101e+02,7.24603821e+02,7.26263428e+02,7.26346375e+02,7.26635254e+02,7.27506897e+02,7.26134094e+02,7.25472717e+02,7.24509338e+02,7.23855896e+02,7.23980530e+02,7.23402771e+02,7.24983826e+02,7.25626343e+02,7.26323303e+02,7.26044495e+02,7.26094177e+02,7.27046936e+02,7.26137390e+02,7.25508606e+02,7.26988770e+02,7.26936707e+02,7.27042053e+02,7.26589294e+02,7.23250549e+02,7.25329956e+02,7.24937866e+02,7.24741394e+02,7.26016968e+02,7.26293823e+02,7.26294800e+02,7.23640564e+02,7.25245056e+02,7.25308167e+02,7.23119568e+02,7.23244873e+02,7.24533264e+02,7.25544250e+02,7.25134766e+02,7.24781860e+02,7.24468384e+02,7.22760864e+02,7.23786133e+02,7.22996948e+02,7.22070374e+02,7.23573181e+02,7.24716736e+02,7.24129028e+02,7.24948975e+02,7.25038025e+02,7.25615906e+02,7.25114502e+02,7.24352051e+02,7.25258728e+02,7.26974609e+02,7.25921753e+02,7.29415344e+02,7.29205688e+02,7.28562012e+02,7.28010803e+02,7.25678528e+02,7.25874756e+02,7.26658813e+02,7.26969971e+02,7.28342041e+02,7.28716309e+02,7.27877075e+02,7.27474548e+02,7.26353577e+02,7.26136108e+02,7.26618347e+02,7.25558533e+02,7.27265381e+02,7.26787476e+02,7.27125793e+02,7.25945374e+02,7.25055908e+02,7.26097290e+02,7.25193237e+02,7.25438171e+02,7.27886841e+02,7.26965027e+02,7.27996643e+02,7.27005188e+02,7.26064392e+02,7.26277527e+02,7.27503052e+02,7.26440552e+02
5.00000000e+00,7.20161926e+02,7.23581665e+02,7.23208740e+02,7.24646973e+02,7.24679504e+02,7.25207642e+02,7.23583252e+02,7.22241943e+02,7.20819092e+02,7.20728149e+02,7.22550171e+02,7.22622559e+02,7.22957275e+02,7.23920044e+02,7.22406494e+02,7.21684387e+02,7.20755371e+02,7.20015137e+02,7.20152954e+02,7.19494385e+02,7.21244263e+02,7.21917297e+02,7.22677979e+02,7.22430847e+02,7.22376526e+02,7.23428833e+02,7.22419189e+02,7.21733154e+02,7.23394897e+02,7.23290100e+02,7.23390381e+02,7.22917542e+02,7.19300903e+02,7.21649841e+02,7.21204041e+02,7.20986755e+02,7.22396362e+02,7.22716919e+02,7.22716187e+02,7.19749084e+02,7.21414185e+02,7.21498840e+02,7.19053894e+02,7.19180420e+02,7.20601501e+02,7.21768677e+02,7.21283020e+02,7.20906616e+02,7.20690735e+02,7.18801147e+02,7.19905701e+02,7.18971497e+02,7.17971130e+02,7.19682495e+02,7.20947144e+02,7.20262268e+02,7.21075867e+02,7.21198181e+02,7.21843750e+02,7.21287781e+02,7.20413208e+02,7.21447266e+02,7.23370361e+02,7.22180786e+02,7.26192444e+02,7.25982483e+02,7.25293030e+02,7.24673157e+02,7.22079651e+02,7.22321472e+02,7.23165527e+02,7.23471008e+02,7.24914795e+02,7.25335388e+02,7.24376770e+02,7.23927551e+02,7.22689148e+02,7.22472595e+02,7.23017334e+02,7.21787964e+02,7.23787964e+02,7.23236389e+02,7.23572876e+02,7.22295105e+02,7.21327637e+02,7.22520691e+02,7.21514160e+02,7.21744873e+02,7.24382874e+02,7.23362183e+02,7.24537781e+02,7.23422546e+02,7.22364685e+02,7.22618469e+02,7.23946167e+02,7.22773743e+02
